time[ms],force[N],weight[kg]
8382,-9.82,-1
8465,-9.82,-1
8549,-29.46,-3
8633,-19.64,-2
8717,-19.64,-2
8801,-19.64,-2
8885,-19.64,-2
8969,-9.82,-1
9052,-9.82,-1
9136,-9.82,-1
9220,-9.82,-1
9304,-9.82,-1
9388,-9.82,-1
9472,-9.82,-1
9556,-9.82,-1
9639,-9.82,-1
9723,-9.82,-1
9807,-9.82,-1
9891,-9.82,-1
9975,-9.82,-1
10059,-9.82,-1
10143,0.0,0
10226,9.82,1
10310,9.82,1
10394,19.64,2
10478,19.64,2
10561,9.82,1
10645,9.82,1
10728,0.0,0
10812,-29.46,-3
10896,-39.28,-4
10980,-88.38,-9
11064,-225.86,-23
11148,-471.36,-48
11232,-962.36,-98
11316,-1983.64,-202
11399,-3574.48,-364
11483,-5597.400000000001,-570
11567,-7964.02,-811
11651,-10458.300000000001,-1065
11735,-12707.08,-1294
11819,-14337.2,-1460
11903,-15505.78,-1579
11986,-16330.66,-1663
12070,-16458.32,-1676
12154,-16252.1,-1655
12238,-16153.9,-1645
12322,-16075.34,-1637
12406,-15898.58,-1619
12490,-16006.6,-1630
12573,-16104.800000000001,-1640
12657,-16085.16,-1638
12741,-16016.42,-1631
12825,-15957.5,-1625
12908,-15957.5,-1625
12992,-16065.52,-1636
13076,-16173.54,-1647
13159,-16163.720000000001,-1646
13243,-16036.060000000001,-1633
13327,-15967.32,-1626
13411,-15878.94,-1617
13495,-15810.2,-1610
13579,-15829.84,-1612
13663,-15937.86,-1623
13746,-15869.12,-1616
13830,-15790.560000000001,-1608
13914,-15721.82,-1601
13998,-15643.26,-1593
14082,-15574.52,-1586
14166,-15525.42,-1581
14250,-15486.140000000001,-1577
14333,-15348.66,-1563
14417,-15279.92,-1556
14501,-15181.720000000001,-1546
14585,-15142.44,-1542
14669,-15211.18,-1549
14753,-15358.48,-1564
14837,-15525.42,-1581
14920,-15633.44,-1592
15004,-15702.18,-1599
15088,-15633.44,-1592
15172,-15515.6,-1580
15255,-15358.48,-1564
15339,-15230.82,-1551
15423,-15112.98,-1539
15507,-15103.16,-1538
15590,-15054.060000000001,-1533
15674,-15024.6,-1530
15758,-14975.5,-1525
15842,-14985.32,-1526
15926,-14946.04,-1522
16010,-14857.66,-1513
16094,-14798.74,-1507
16178,-14749.640000000001,-1502
16261,-14769.28,-1504
16345,-14867.48,-1514
16429,-15112.98,-1539
16513,-15309.380000000001,-1559
16597,-15446.86,-1573
16681,-15437.04,-1572
16765,-15358.48,-1564
16848,-15289.74,-1557
16932,-15230.82,-1551
17016,-15270.1,-1555
17100,-15427.220000000001,-1571
17184,-15643.26,-1593
17268,-15712.0,-1600
17352,-15770.92,-1606
17435,-15810.2,-1610
17519,-15761.1,-1605
17602,-15584.34,-1587
17686,-15456.68,-1574
17770,-15368.300000000001,-1565
17854,-15329.02,-1561
17938,-15407.58,-1569
18021,-15554.880000000001,-1584
18105,-15702.18,-1599
18189,-15869.12,-1616
18273,-15898.58,-1619
18357,-15957.5,-1625
18441,-16153.9,-1645
18525,-16428.86,-1673
18608,-16605.62,-1691
18692,-16782.38,-1709
18776,-16752.920000000002,-1706
18860,-16546.7,-1685
18944,-16350.300000000001,-1665
19028,-16134.26,-1643
19112,-15996.78,-1629
19195,-16065.52,-1636
19279,-16222.640000000001,-1652
19363,-16311.02,-1661
19447,-16458.32,-1676
19531,-16585.98,-1689
19615,-16546.7,-1685
19699,-16468.14,-1677
19782,-16369.94,-1667
19866,-16311.02,-1661
19950,-16271.74,-1657
20033,-16369.94,-1667
20117,-16369.94,-1667
20201,-16379.76,-1668
20285,-16428.86,-1673
20368,-16477.96,-1678
20452,-16448.5,-1675
20536,-16350.300000000001,-1665
20620,-16203.0,-1650
20704,-15878.94,-1617
20788,-15495.960000000001,-1578
20872,-15103.16,-1538
20955,-14759.460000000001,-1503
21039,-14376.48,-1464
21123,-14032.78,-1429
21207,-13649.800000000001,-1390
21291,-13188.26,-1343
21375,-12599.06,-1283
21458,-11970.58,-1219
21542,-11057.32,-1126
21626,-9545.04,-972
21710,-7964.02,-811
21794,-6510.66,-663
21878,-5057.3,-515
21962,-3869.08,-394
22045,-3211.14,-327
22129,-2612.12,-266
22213,-2072.02,-211
22297,-1708.68,-174
22380,-1453.3600000000001,-148
22464,-1325.7,-135
22548,-1237.32,-126
22631,-1050.74,-107
22715,-775.78,-79
22799,-441.90000000000003,-45
22883,-127.66,-13
22967,108.02000000000001,11
23051,245.5,25
23135,314.24,32
23218,353.52,36
23302,402.62,41
23386,461.54,47
23470,500.82,51
23554,520.46,53
23638,510.64,52
23722,481.18,49
23805,461.54,47
23889,441.90000000000003,45
23973,432.08000000000004,44
24057,432.08000000000004,44
24141,441.90000000000003,45
24225,451.72,46
24309,471.36,48
24392,510.64,52
24476,559.74,57
24560,608.84,62
24644,657.94,67
24727,697.22,71
24811,707.04,72
24895,697.22,71
24978,677.58,69
25062,648.12,66
25146,628.48,64
25230,618.66,63
25314,608.84,62
25398,608.84,62
25482,608.84,62
25565,608.84,62
25649,599.02,61
25733,599.02,61
25817,599.02,61
25901,599.02,61
25985,608.84,62
26069,628.48,64
26152,648.12,66
26236,667.76,68
26320,687.4,70
26404,707.04,72
26488,707.04,72
26572,707.04,72
26656,707.04,72
26739,697.22,71
26823,697.22,71
26907,707.04,72
26991,707.04,72
27074,697.22,71
27158,697.22,71
27242,707.04,72
27325,736.5,75
27409,795.4200000000001,81
27493,873.98,89
